palavra;traducao
Führer;líder
Angesetzt;programada/agendada
trägerin;portadora
Bedürfnisse der Öffentlichkeit;às necessidades do público em geral
Putschisten;golpistas
verkünden;anunciar
Einheit;unidade
Einrichtung;instituição
Schauplatz;cenário, palco
Verschlechterung der Sicherheitslage;deteriorização da situação da segurança
Anhänger;seguidores/simpatizantes
Stimmen;votos
Dem vorläufigen Ergebnis zufolge;de acordo com resultados preliminares
Betrug;fraude
Wahlbetrug;fraude eleitoral
Hardliner;radicais
vorwürfen;acusar
Freiwilliger;voluntários
eintreffen;chegar
verschoben worden;foi adiada
zufolge;de acordo/de acordo com
übernommen;assumir/tomar posse
Übernahme;aquisição
abschliessen;concluir
Anspielung;alusão
vereinbarten;acordado/
ursprünglich;originalmente/inicialmente
entlassen;demitir
Beobachter befürchten nun;observadores temem
befürchten;temer
Was nun?;E agora?
was nun;no que diz respeito
von nun an;de agora em diante
nun;agora
Dienst;serviço
Kampf;luta
Bemühungen;esforços
einschränken;limitar/enfraquecer/restringir
Behauptung;alegação/afirmação
Beobachter;observador
beobachten;observar
versetzen;transferir
Sprengsatz;explosivo
Einsatz;uso/utilização/implantação/aplicação
Mitteilung;comunicado/aviso
lauten;dizer/de acordo com
Regierung;governo
Anschuldigungen;acusações
zurückweisen;rejeitar
Vorwand;pretexto
Angriffen;ataques
Zusammenhang;conexão/relação
im Zusammenhang mit;relacionado com
ausfallen;falhar/fracassar (irregular)
ausfielen;fracassou/falhou
Gesetzesvorlage;lei/projeto de lei
mehrheitlich;majoritário/geralmente/em geral
bekanntgeben;anunciar/revelar
unabhängig davon;independente de 
erhören;aumentar
erhöhten Risikos;aumento do risco/risco aumentado
Abreise;partida/retirada
abziehen;retirar/remover/subtrair
dringend benötigten;muito necessária
Bedrohungen;ameaças
abzielen;visar/procurar/dirigir/direcionar
allerdings;contudo/no entanto/entretanto/todavia
westliche;ocidental
überprüfen;analisar/revisar/avaliar/verificar
Entscheidung;decisão/escolha/sentença
stellvertretend;representante/vice
Einigung;acordo
Verbraucher;consumidores
vollziehen;fazer/realizar/concluir
Wende;mudança/transição
bedeutend;importante/notável/substancial
benennen;designar/nomear
Stromausfälle;apagões/quedas de energia
benötigt;necessário
Waren;mercadorias/produtos
erstellen;criar/construir/elaborar
Heizgeräte;aquecedores
Stellungnahme;parecer/observação/comentário/declaração
ablehnen;recusar
Chancen;oportunidades
Beschleunigung;aceleração
beschleunigen;acelerar/agilizar
Wandel;mudança/transformação
vorgelegten;apresentado/submetido
vorlegen;apresentar/submeter
Verwirklichung;concretização/realização
ansteigen;aumentar/crescer
künftig;futuramente/doravante/no futuro/de agora em diante
Vorgehen;ação/procedimento/abordagem
Grenzen;limites/fronteiras
ebenfalls;também/igualmente
vorstehen;enfrentar
mitregieren;co-governar
Abgeordneten;deputados
weibliche;feminino
anwesend;presente/atual
halten;manter/ter
